Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1605607103,192.168.1.192,50520,137.110.0.69,443,17,468,512,4,4,1605607103697;1605607103717;1605607103809;1605607103809;1605607103831;1605607103831;1605607103936;1605607103956;,127;138;107;107;118;118;127;138;,1;2;1;1;2;2;1;2;
1605607104,192.168.1.192,50520,137.110.0.69,443,17,213,317,2,2,1605607104265;1605607104266;1605607104313;1605607104371;,199;107;106;118;,2;1;1;2;
1605607105,192.168.1.192,50520,137.110.0.69,443,17,448,354,4,3,1605607105806;1605607105832;1605607105838;1605607105838;1605607105864;1605607105864;1605607105981;,107;118;107;107;118;118;127;,1;2;1;1;2;2;1;
1605607106,192.168.1.192,50520,137.110.0.69,443,17,0,138,0,1,1605607106003;,138;,2;
1605607108,192.168.1.192,50520,137.110.0.69,443,17,127,138,1,1,1605607108851;1605607108873;,127;138;,1;2;
1605607109,192.168.1.192,50520,137.110.0.69,443,17,790,1126,5,7,1605607109129;1605607109129;1605607109161;1605607109161;1605607109162;1605607109188;1605607109188;1605607109188;1605607109188;1605607109188;1605607109189;1605607109217;,208;165;126;126;165;218;200;165;126;126;165;126;,1;1;2;2;2;2;2;2;1;1;1;2;
1605607110,192.168.1.192,50520,137.110.0.69,443,17,127,138,1,1,1605607110139;1605607110164;,127;138;,1;2;
1605607111,192.168.1.192,50520,137.110.0.69,443,17,513,391,4,3,1605607111476;1605607111523;1605607111871;1605607111931;1605607111949;1605607111950;1605607111955;,179;126;106;175;106;106;106;,2;1;1;1;2;1;2;
1605607113,192.168.1.192,50520,137.110.0.69,443,17,127,138,1,1,1605607113687;1605607113709;,127;138;,1;2;
1605607114,192.168.1.192,50520,137.110.0.69,443,17,169,106,1,1,1605607114643;1605607114739;,169;106;,1;2;
1605607116,192.168.1.192,50520,137.110.0.69,443,17,2902,2353,9,11,1605607116016;1605607116016;1605607116016;1605607116016;1605607116040;1605607116040;1605607116040;1605607116041;1605607116041;1605607116087;1605607116109;1605607116109;1605607116109;1605607116109;1605607116110;1605607116110;1605607116110;1605607116119;1605607116134;1605607116140;,366;165;1366;355;126;126;126;126;165;126;515;380;380;165;126;126;165;107;126;118;,1;1;1;1;2;2;2;2;2;1;2;2;2;2;1;1;1;1;2;2;
1605607117,192.168.1.192,50520,137.110.0.69,443,17,672,301,4,1,1605607117676;1605607117771;1605607117818;1605607117959;1605607117960;,323;301;106;137;106;,1;2;1;1;1;
1605607118,192.168.1.192,50520,137.110.0.69,443,17,2875,5629,17,19,1605607118070;1605607118092;1605607118092;1605607118103;1605607118126;1605607118126;1605607118126;1605607118126;1605607118126;1605607118126;1605607118127;1605607118131;1605607118162;1605607118163;1605607118195;1605607118207;1605607118259;1605607118474;1605607118474;1605607118474;1605607118475;1605607118494;1605607118509;1605607118676;1605607118677;1605607118677;1605607118681;1605607118682;1605607118682;1605607118684;1605607118753;1605607118753;1605607118754;1605607118754;1605607118772;1605607118776;,118;114;106;315;1130;482;1130;446;428;106;106;424;157;497;137;284;106;182;126;126;126;126;137;130;106;106;130;106;106;107;182;126;126;126;118;126;,1;2;1;1;2;2;2;2;2;1;1;1;2;1;1;2;1;2;2;1;1;2;1;2;2;1;2;2;1;1;2;2;1;1;2;2;
1605607119,192.168.1.192,50520,137.110.0.69,443,17,137,0,1,0,1605607119112;,137;,1;
1605607120,192.168.1.192,50520,137.110.0.69,443,17,561,845,5,7,1605607120139;1605607120191;1605607120317;1605607120669;1605607120669;1605607120670;1605607120699;1605607120699;1605607120700;1605607120701;1605607120701;1605607120701;,137;106;137;130;106;106;130;106;106;130;106;106;,2;1;1;2;2;1;2;2;1;2;2;1;
1605607121,192.168.1.192,53172,137.110.0.69,443,6,194,157,3,3,1605607121127;1605607121127;1605607121149;1605607121149;1605607121155;1605607121190;,77;77;40;77;40;40;,1;1;2;2;2;1;
1605607121,FE80::A608:F5FF:FE6C:3BA6,0,FF02::1,0,58,96,0,1,0,1605607121428;,96;,1;
1605607122,192.168.1.192,50520,137.110.0.69,443,17,515,252,4,2,1605607122252;1605607122375;1605607122375;1605607122610;1605607122610;1605607122729;,126;126;126;126;126;137;,1;2;1;2;1;1;
1605607122,192.168.1.204,5353,224.0.0.251,5353,17,103,0,1,0,1605607122351;,103;,1;
1605607122,FE80::87B:8146:EC69:6D31,5353,FF02::FB,5353,17,123,0,1,0,1605607122351;,123;,1;
1605607123,192.168.1.192,50520,137.110.0.69,443,17,107,118,1,1,1605607123096;1605607123184;,107;118;,1;2;
1605607123,192.168.1.204,5353,224.0.0.251,5353,17,103,0,1,0,1605607123374;,103;,1;
1605607123,FE80::87B:8146:EC69:6D31,5353,FF02::FB,5353,17,123,0,1,0,1605607123374;,123;,1;
1605607124,192.168.1.192,50520,137.110.0.69,443,17,780,661,6,4,1605607124032;1605607124121;1605607124490;1605607124515;1605607124515;1605607124515;1605607124541;1605607124588;1605607124603;1605607124604;,107;118;118;118;106;237;319;106;106;106;,1;2;1;2;1;1;2;1;2;1;
1605607125,192.168.1.192,50520,137.110.0.69,443,17,106,106,1,1,1605607125138;1605607125139;,106;106;,2;1;
1605607126,192.168.1.204,5353,224.0.0.251,5353,17,103,0,1,0,1605607126344;,103;,1;
1605607126,FE80::87B:8146:EC69:6D31,5353,FF02::FB,5353,17,123,0,1,0,1605607126344;,123;,1;
1605607127,192.168.1.192,50520,137.110.0.69,443,17,137,0,1,0,1605607127536;,137;,1;
