Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1605607345,192.168.1.202,5353,224.0.0.251,5353,17,180,0,1,0,1605607345689;,180;,1;
1605607345,FE80::14C3:1D88:1F63:D8C,5353,FF02::FB,5353,17,200,0,1,0,1605607345690;,200;,1;
1605607347,192.168.1.192,50520,137.110.0.69,443,17,0,110,0,1,1605607347397;,110;,2;
1605607349,192.168.1.192,50520,137.110.0.69,443,17,677,429,4,3,1605607349299;1605607349330;1605607349957;1605607349958;1605607349958;1605607349998;1605607349998;,127;138;175;210;165;126;165;,1;2;1;1;1;2;2;
1605607350,192.168.1.192,50520,137.110.0.69,443,17,757,815,5,5,1605607350014;1605607350014;1605607350014;1605607350014;1605607350014;1605607350015;1605607350039;1605607350222;1605607350248;1605607350991;,218;200;165;126;126;165;126;175;106;165;,2;2;2;1;1;1;2;1;2;1;
1605607351,192.168.1.192,50520,137.110.0.69,443,17,106,154,1,1,1605607351058;1605607351101;,154;106;,2;1;
1605607352,192.168.1.192,50520,137.110.0.69,443,17,0,106,0,1,1605607352614;,106;,2;
1605607353,192.168.1.203,5353,224.0.0.251,5353,17,140,0,1,0,1605607353062;,140;,1;
1605607353,FE80::1804:6140:EE9F:1A02,5353,FF02::FB,5353,17,160,0,1,0,1605607353063;,160;,1;
1605607353,192.168.1.192,50520,137.110.0.69,443,17,0,106,0,1,1605607353566;,106;,2;
1605607354,192.168.1.203,5353,224.0.0.251,5353,17,172,0,1,0,1605607354087;,172;,1;
1605607354,FE80::1804:6140:EE9F:1A02,5353,FF02::FB,5353,17,192,0,1,0,1605607354087;,192;,1;
1605607355,192.168.1.192,50520,137.110.0.69,443,17,127,244,1,2,1605607355184;1605607355241;1605607355275;,106;127;138;,2;1;2;
1605607356,192.168.1.192,50520,137.110.0.69,443,17,517,565,4,3,1605607356105;1605607356148;1605607356164;1605607356227;1605607356229;1605607356273;1605607356352;,179;126;149;136;280;106;106;,2;1;1;1;2;1;2;
1605607357,192.168.1.203,5353,224.0.0.251,5353,17,172,0,1,0,1605607357158;,172;,1;
1605607357,FE80::1804:6140:EE9F:1A02,5353,FF02::FB,5353,17,192,0,1,0,1605607357159;,192;,1;
1605607357,192.168.1.192,50520,137.110.0.69,443,17,1228,934,5,3,1605607357937;1605607357938;1605607357958;1605607357962;1605607357964;1605607357985;1605607357986;1605607357986;,128;128;392;404;138;138;126;708;,1;1;2;2;1;2;1;1;
1605607358,192.168.1.192,50520,137.110.0.69,443,17,8157,4520,16,17,1605607358006;1605607358014;1605607358016;1605607358016;1605607358017;1605607358018;1605607358018;1605607358018;1605607358018;1605607358018;1605607358018;1605607358037;1605607358037;1605607358038;1605607358038;1605607358043;1605607358046;1605607358046;1605607358051;1605607358057;1605607358111;1605607358111;1605607358111;1605607358111;1605607358111;1605607358112;1605607358112;1605607358112;1605607358133;1605607358302;1605607358413;1605607358414;1605607358459;,126;338;190;218;1366;223;1366;1366;529;1366;404;706;157;126;157;126;126;126;126;126;874;431;318;242;165;126;126;165;126;323;106;301;106;,2;2;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;1;
1605607360,192.168.1.192,50520,137.110.0.69,443,17,169,0,1,0,1605607360935;,169;,1;
1605607361,192.168.1.192,50520,137.110.0.69,443,17,0,106,0,1,1605607361032;,106;,2;
1605607361,192.168.1.192,53172,137.110.0.69,443,6,117,117,2,2,1605607361270;1605607361294;1605607361294;1605607361349;,77;40;77;40;,1;2;2;1;
1605607364,192.168.1.192,50520,137.110.0.69,443,17,0,106,0,1,1605607364846;,106;,2;
1605607368,192.168.1.192,50520,137.110.0.69,443,17,4584,638,5,2,1605607368511;1605607368511;1605607368511;1605607368511;1605607368646;1605607368713;1605607368713;,640;1366;1366;1106;106;532;106;,1;1;1;1;2;2;1;
1605607369,192.168.1.192,50520,137.110.0.69,443,17,899,1922,6,8,1605607369548;1605607369548;1605607369572;1605607369573;1605607369573;1605607369615;1605607369616;1605607369616;1605607369617;1605607369617;1605607369617;1605607369617;1605607369617;1605607369645;,191;165;126;126;165;126;190;867;126;157;165;126;165;126;,1;1;2;2;2;1;2;2;1;2;2;1;1;2;
1605607370,192.168.1.240,5353,224.0.0.251,5353,17,273,0,2,0,1605607370266;1605607370983;,167;106;,1;1;
1605607370,FE80::14CF:E9FA:38E5:E9F6,5353,FF02::FB,5353,17,313,0,2,0,1605607370266;1605607370983;,187;126;,1;1;
1605607370,192.168.1.192,50520,137.110.0.69,443,17,2446,3931,13,19,1605607370651;1605607370652;1605607370671;1605607370672;1605607370673;1605607370718;1605607370736;1605607370744;1605607370744;1605607370744;1605607370745;1605607370745;1605607370745;1605607370746;1605607370746;1605607370750;1605607370762;1605607370779;1605607370779;1605607370854;1605607370854;1605607370854;1605607370858;1605607370858;1605607370858;1605607370859;1605607370860;1605607370883;1605607370971;1605607370974;1605607370996;1605607370997;,378;165;126;126;165;126;161;358;550;126;158;157;165;126;165;303;126;126;126;357;553;126;158;157;165;126;165;126;175;304;106;126;,1;1;2;2;2;1;1;2;2;1;2;2;2;1;1;1;2;2;2;2;2;1;2;2;2;1;1;2;1;1;2;2;
1605607371,192.168.1.192,50520,137.110.0.69,443,17,2585,6166,15,26,1605607371081;1605607371082;1605607371082;1605607371085;1605607371085;1605607371085;1605607371085;1605607371085;1605607371111;1605607371547;1605607371568;1605607371635;1605607371635;1605607371635;1605607371636;1605607371637;1605607371637;1605607371637;1605607371637;1605607371660;1605607371758;1605607371780;1605607371847;1605607371849;1605607371849;1605607371849;1605607371849;1605607371849;1605607371849;1605607371849;1605607371870;1605607371892;1605607371916;1605607371981;1605607371981;1605607371981;1605607371982;1605607371982;1605607371982;1605607371982;1605607371982;,358;552;126;158;157;165;126;165;126;305;126;358;508;126;158;157;165;126;165;126;305;126;358;500;158;157;165;126;126;165;126;307;126;356;500;126;158;157;165;126;165;,2;2;1;2;2;2;1;1;2;1;2;2;2;1;2;2;2;1;1;2;1;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;2;2;2;1;1;
1605607371,192.168.1.240,5353,224.0.0.251,5353,17,167,0,1,0,1605607371188;,167;,1;
1605607371,FE80::14CF:E9FA:38E5:E9F6,5353,FF02::FB,5353,17,187,0,1,0,1605607371188;,187;,1;
