Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1605606740,192.168.1.192,50520,137.110.0.69,443,17,253,317,2,2,1605606740229;1605606740252;1605606740803;1605606740850;,127;138;179;126;,1;2;2;1;
1605606741,192.168.1.192,50520,137.110.0.69,443,17,107,0,1,0,1605606741935;,107;,1;
1605606742,192.168.1.192,50520,137.110.0.69,443,17,268,499,2,4,1605606742015;1605606742329;1605606742350;1605606742897;1605606742898;1605606742915;,118;127;138;137;141;106;,2;1;2;2;1;2;
1605606743,FE80::A608:F5FF:FE6C:3BA6,0,FF02::1,0,58,96,0,1,0,1605606743359;,96;,1;
1605606745,192.168.1.192,50520,137.110.0.69,443,17,271,154,2,1,1605606745137;1605606745205;1605606745246;,165;154;106;,1;2;1;
1605606747,192.168.1.192,50520,137.110.0.69,443,17,1396,1430,9,9,1605606747670;1605606747723;1605606747753;1605606747764;1605606747783;1605606747937;1605606747952;1605606747952;1605606747971;1605606747972;1605606747972;1605606747983;1605606747997;1605606747997;1605606747997;1605606747998;1605606747998;1605606747998;,162;162;175;106;106;162;209;165;126;126;165;162;218;200;165;126;126;165;,1;2;1;1;2;1;1;1;2;2;2;2;2;2;2;1;1;1;
1605606748,192.168.1.192,50520,137.110.0.69,443,17,487,540,4,4,1605606748026;1605606748029;1605606748249;1605606748270;1605606748342;1605606748360;1605606748437;1605606748456;,126;106;127;138;127;138;127;138;,2;1;1;2;1;2;1;2;
1605606749,192.168.1.192,50520,137.110.0.69,443,17,127,138,1,1,1605606749742;1605606749770;,127;138;,1;2;
1605606750,192.168.1.192,50520,137.110.0.69,443,17,2966,573,3,2,1605606750094;1605606750102;1605606750102;1605606750102;1605606750180;,467;1366;1366;234;106;,2;1;1;1;2;
1605606754,192.168.1.192,50520,137.110.0.69,443,17,106,154,1,1,1605606754106;1605606754162;,154;106;,2;1;
1605606754,192.168.1.203,5353,224.0.0.251,5353,17,89,0,1,0,1605606754828;,89;,1;
1605606754,FE80::1804:6140:EE9F:1A02,5353,FF02::FB,5353,17,109,0,1,0,1605606754829;,109;,1;
1605606755,192.168.1.192,50520,137.110.0.69,443,17,252,544,2,4,1605606755081;1605606755100;1605606755100;1605606755101;1605606755101;1605606755124;,110;182;126;126;126;126;,2;2;2;1;1;2;
1605606756,192.168.1.192,50520,137.110.0.69,443,17,593,301,3,1,1605606756736;1605606756813;1605606756835;1605606756880;,323;164;301;106;,1;1;2;1;
1605606757,192.168.1.192,50520,137.110.0.69,443,17,6611,7146,19,18,1605606757118;1605606757172;1605606757172;1605606757195;1605606757197;1605606757198;1605606757204;1605606757247;1605606757248;1605606757248;1605606757294;1605606757295;1605606757295;1605606757295;1605606757295;1605606757295;1605606757295;1605606757340;1605606757340;1605606757340;1605606757347;1605606757348;1605606757348;1605606757403;1605606757435;1605606757459;1605606757459;1605606757459;1605606757472;1605606757473;1605606757473;1605606757670;1605606757720;1605606757720;1605606757765;1605606757923;1605606757974;,164;133;133;215;482;118;106;118;106;691;340;170;198;1136;326;1217;1334;106;152;137;106;106;167;106;106;1366;711;106;1366;1269;106;162;106;162;106;162;162;,1;1;1;2;2;1;2;2;1;1;2;1;1;1;1;1;1;2;2;1;2;2;2;1;2;2;2;1;2;2;1;1;2;2;1;1;2;
1605606758,192.168.1.192,50520,137.110.0.69,443,17,106,0,1,0,1605606758016;,106;,1;
1605606759,192.168.1.202,5353,224.0.0.251,5353,17,865,0,3,0,1605606759744;1605606759744;1605606759962;,234;458;173;,1;1;1;
1605606759,FE80::14C3:1D88:1F63:D8C,5353,FF02::FB,5353,17,478,0,1,0,1605606759746;,478;,1;
1605606760,192.168.1.202,5353,224.0.0.251,5353,17,1456,0,5,0,1605606760293;1605606760562;1605606760564;1605606760797;1605606760870;,279;189;243;287;458;,1;1;1;1;1;
1605606760,FE80::14C3:1D88:1F63:D8C,5353,FF02::FB,5353,17,1556,0,5,0,1605606760294;1605606760564;1605606760564;1605606760797;1605606760871;,299;209;263;307;478;,1;1;1;1;1;
1605606760,192.168.1.192,50520,137.110.0.69,443,17,234,256,2,2,1605606760362;1605606760385;1605606760961;1605606760983;,127;138;107;118;,1;2;1;2;
1605606760,192.168.1.202,0,224.0.0.251,0,2,32,0,1,0,1605606760703;,32;,1;
1605606760,192.168.1.192,53172,137.110.0.69,443,6,117,117,2,2,1605606760913;1605606760950;1605606760951;1605606760992;,77;40;77;40;,1;2;2;1;
1605606761,192.168.1.202,5353,224.0.0.251,5353,17,446,0,2,0,1605606761074;1605606761554;,203;243;,1;1;
1605606761,FE80::14C3:1D88:1F63:D8C,5353,FF02::FB,5353,17,486,0,2,0,1605606761075;1605606761555;,223;263;,1;1;
1605606762,192.168.1.202,5353,224.0.0.251,5353,17,383,0,2,0,1605606762059;1605606762713;,203;180;,1;1;
1605606762,FE80::14C3:1D88:1F63:D8C,5353,FF02::FB,5353,17,423,0,2,0,1605606762060;1605606762713;,223;200;,1;1;
1605606762,192.168.1.192,50520,137.110.0.69,443,17,169,106,1,1,1605606762640;1605606762753;,169;106;,1;2;
1605606764,192.168.1.192,50520,137.110.0.69,443,17,254,276,2,2,1605606764579;1605606764670;1605606764766;1605606764788;,127;138;127;138;,1;2;1;2;
1605606765,192.168.1.192,50520,137.110.0.69,443,17,126,179,1,1,1605606765130;1605606765173;,179;126;,2;1;
1605606766,192.168.1.192,50520,137.110.0.69,443,17,160,106,1,1,1605606766933;1605606766964;,160;106;,1;2;
1605606767,192.168.1.192,50520,137.110.0.69,443,17,642,569,5,4,1605606767033;1605606767075;1605606767519;1605606767519;1605606767670;1605606767716;1605606767771;1605606767931;1605606767978;,139;106;106;106;162;162;106;162;162;,2;1;2;1;1;2;1;1;2;
1605606768,192.168.1.192,50520,137.110.0.69,443,17,9872,5422,23,24,1605606768003;1605606768003;1605606768003;1605606768003;1605606768022;1605606768022;1605606768026;1605606768027;1605606768027;1605606768027;1605606768068;1605606768091;1605606768091;1605606768091;1605606768091;1605606768095;1605606768097;1605606768097;1605606768097;1605606768097;1605606768097;1605606768098;1605606768098;1605606768123;1605606768123;1605606768126;1605606768130;1605606768131;1605606768132;1605606768257;1605606768257;1605606768257;1605606768279;1605606768279;1605606768279;1605606768279;1605606768334;1605606768402;1605606768402;1605606768402;1605606768402;1605606768403;1605606768403;1605606768403;1605606768428;1605606768756;1605606768779;,245;165;1366;834;126;106;126;126;126;165;126;640;1366;1366;1116;207;534;126;306;390;165;126;165;160;106;106;126;532;106;186;165;844;126;126;126;165;126;197;848;126;242;165;126;165;126;175;106;,1;1;1;1;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;2;2;1;1;2;1;2;2;2;1;1;1;1;2;2;2;2;1;2;2;1;2;2;1;1;2;1;2;
1605606769,192.168.1.192,50520,137.110.0.69,443,17,107,118,1,1,1605606769035;1605606769054;,107;118;,1;2;
