Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1606807804,192.168.1.192,62961,205.196.6.67,443,6,103,40,1,1,1606807804631;1606807804716;,103;40;,1;2;
1606807806,192.168.1.192,62998,13.226.254.88,443,6,248,1162,3,4,1606807806163;1606807806163;1606807806180;1606807806180;1606807806180;1606807806182;1606807806182;,129;79;52;40;79;991;40;,1;1;2;2;2;2;1;
1606807806,192.168.1.192,62999,151.101.198.180,443,6,3408,952,6,7,1606807806192;1606807806192;1606807806192;1606807806192;1606807806206;1606807806206;1606807806206;1606807806206;1606807806210;1606807806210;1606807806258;1606807806266;1606807806322;,122;86;2930;190;52;52;52;52;40;99;40;605;40;,1;1;1;1;2;2;2;2;2;2;1;2;1;
1606807806,192.168.1.192,63551,54.173.231.58,443,6,80,197,2,3,1606807806518;1606807806518;1606807806518;1606807806518;1606807806598;,86;71;40;40;40;,2;2;1;1;2;
1606807807,192.168.1.192,62943,54.149.94.178,443,6,136,96,2,1,1606807807167;1606807807205;1606807807260;,96;96;40;,1;2;1;
1606807807,2605:E000:151F:C329:ADC4:466B:49F2:19E9,63548,2607:F8B0:4007:80D::2003,443,6,120,60,2,1,1606807807172;1606807807193;1606807807193;,60;60;60;,1;2;1;
1606807807,192.168.1.192,57605,192.168.1.1,53,17,76,204,1,1,1606807807173;1606807807204;,76;204;,1;2;
1606807807,192.168.1.192,59883,192.168.1.1,53,17,76,76,1,1,1606807807173;1606807807178;,76;76;,1;2;
1606807807,192.168.1.192,63587,34.205.98.164,443,6,4681,6887,13,14,1606807807204;1606807807282;1606807807282;1606807807282;1606807807365;1606807807367;1606807807367;1606807807367;1606807807367;1606807807367;1606807807368;1606807807368;1606807807443;1606807807443;1606807807443;1606807807443;1606807807444;1606807807444;1606807807444;1606807807445;1606807807447;1606807807447;1606807807528;1606807807528;1606807807530;1606807807530;1606807807530;,52;52;40;571;40;1500;2960;944;40;166;139;411;40;314;118;40;78;341;78;40;217;2847;40;40;342;78;40;,1;2;1;1;2;2;2;2;1;1;1;1;2;2;2;1;1;2;2;1;1;1;2;2;2;2;1;
1606807807,2605:E000:151F:C329:ADC4:466B:49F2:19E9,59884,2607:F8B0:4007:80D::2003,443,17,3654,4605,7,11,1606807807779;1606807807797;1606807807820;1606807807820;1606807807820;1606807807822;1606807807822;1606807807841;1606807807841;1606807807841;1606807807842;1606807807867;1606807807867;1606807807867;1606807807878;1606807807899;1606807807900;1606807807930;,1378;1378;1378;273;109;1378;572;660;74;81;77;81;437;83;73;73;81;73;,1;2;2;2;2;1;1;2;2;1;2;1;2;1;2;2;1;2;
