Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1606197714,192.168.1.192,59477,137.110.0.70,443,17,127,138,1,1,1606197714827;1606197714853;,127;138;,1;2;
1606197715,192.168.1.192,59477,137.110.0.70,443,17,412,532,3,4,1606197715015;1606197715155;1606197715251;1606197715390;1606197715902;1606197715924;1606197715965;,127;127;126;126;158;126;154;,1;1;2;2;1;2;2;
1606197716,192.168.1.192,59477,137.110.0.70,443,17,25485,479686,188,363,1606197716021;1606197716521;1606197716521;1606197716526;1606197716526;1606197716545;1606197716545;1606197716545;1606197716545;1606197716545;1606197716545;1606197716545;1606197716547;1606197716547;1606197716547;1606197716548;1606197716548;1606197716548;1606197716548;1606197716549;1606197716549;1606197716549;1606197716549;1606197716549;1606197716549;1606197716550;1606197716550;1606197716550;1606197716550;1606197716550;1606197716550;1606197716561;1606197716561;1606197716561;1606197716561;1606197716561;1606197716561;1606197716561;1606197716561;1606197716561;1606197716561;1606197716561;1606197716561;1606197716561;1606197716561;1606197716561;1606197716561;1606197716562;1606197716562;1606197716562;1606197716562;1606197716562;1606197716562;1606197716563;1606197716563;1606197716563;1606197716563;1606197716563;1606197716563;1606197716563;1606197716563;1606197716563;1606197716563;1606197716563;1606197716563;1606197716567;1606197716567;1606197716567;1606197716567;1606197716567;1606197716567;1606197716567;1606197716567;1606197716567;1606197716567;1606197716567;1606197716567;1606197716569;1606197716569;1606197716576;1606197716576;1606197716576;1606197716576;1606197716576;1606197716576;1606197716576;1606197716576;1606197716576;1606197716576;1606197716576;1606197716576;1606197716576;1606197716576;1606197716576;1606197716576;1606197716576;1606197716576;1606197716576;1606197716576;1606197716576;1606197716576;1606197716577;1606197716577;1606197716577;1606197716577;1606197716577;1606197716577;1606197716577;1606197716577;1606197716577;1606197716577;1606197716577;1606197716578;1606197716578;1606197716578;1606197716578;1606197716578;1606197716578;1606197716578;1606197716582;1606197716582;1606197716582;1606197716582;1606197716582;1606197716582;1606197716582;1606197716582;1606197716582;1606197716582;1606197716582;1606197716582;1606197716582;1606197716582;1606197716582;1606197716582;1606197716582;1606197716582;1606197716582;1606197716583;1606197716583;1606197716583;1606197716583;1606197716583;1606197716583;1606197716583;1606197716583;1606197716583;1606197716583;1606197716584;1606197716584;1606197716584;1606197716584;1606197716584;1606197716584;1606197716584;1606197716584;1606197716584;1606197716584;1606197716585;1606197716585;1606197716586;1606197716586;1606197716586;1606197716586;1606197716586;1606197716586;1606197716586;1606197716586;1606197716586;1606197716586;1606197716586;1606197716587;1606197716587;1606197716588;1606197716588;1606197716588;1606197716588;1606197716588;1606197716588;1606197716588;1606197716588;1606197716588;1606197716588;1606197716588;1606197716588;1606197716589;1606197716589;1606197716589;1606197716589;1606197716589;1606197716589;1606197716589;1606197716589;1606197716590;1606197716590;1606197716590;1606197716590;1606197716590;1606197716590;1606197716590;1606197716591;1606197716591;1606197716591;1606197716591;1606197716591;1606197716591;1606197716592;1606197716592;1606197716592;1606197716592;1606197716592;1606197716592;1606197716594;1606197716594;1606197716594;1606197716594;1606197716594;1606197716594;1606197716594;1606197716594;1606197716594;1606197716595;1606197716595;1606197716595;1606197716596;1606197716596;1606197716596;1606197716596;1606197716596;1606197716598;1606197716598;1606197716598;1606197716598;1606197716598;1606197716598;1606197716598;1606197716599;1606197716599;1606197716599;1606197716599;1606197716599;1606197716599;1606197716599;1606197716599;1606197716600;1606197716600;1606197716600;1606197716600;1606197716601;1606197716601;1606197716602;1606197716602;1606197716602;1606197716602;1606197716602;1606197716602;1606197716603;1606197716603;1606197716603;1606197716603;1606197716631;1606197716631;1606197716631;1606197716631;1606197716631;1606197716631;1606197716632;1606197716632;1606197716633;1606197716633;1606197716633;1606197716633;1606197716633;1606197716633;1606197716633;1606197716634;1606197716634;1606197716634;1606197716634;1606197716634;1606197716634;1606197716635;1606197716635;1606197716635;1606197716635;1606197716635;1606197716636;1606197716636;1606197716636;1606197716637;1606197716637;1606197716637;1606197716637;1606197716637;1606197716637;1606197716637;1606197716638;1606197716638;1606197716638;1606197716638;1606197716638;1606197716638;1606197716639;1606197716639;1606197716639;1606197716640;1606197716640;1606197716640;1606197716640;1606197716640;1606197716640;1606197716640;1606197716640;1606197716640;1606197716644;1606197716644;1606197716644;1606197716644;1606197716644;1606197716644;1606197716644;1606197716644;1606197716644;1606197716644;1606197716644;1606197716644;1606197716644;1606197716645;1606197716645;1606197716645;1606197716645;1606197716645;1606197716645;1606197716645;1606197716646;1606197716646;1606197716646;1606197716646;1606197716646;1606197716646;1606197716646;1606197716647;1606197716647;1606197716647;1606197716648;1606197716650;1606197716650;1606197716650;1606197716650;1606197716650;1606197716652;1606197716652;1606197716652;1606197716652;1606197716652;1606197716652;1606197716652;1606197716652;1606197716652;1606197716652;1606197716652;1606197716653;1606197716656;1606197716656;1606197716656;1606197716656;1606197716656;1606197716656;1606197716656;1606197716657;1606197716657;1606197716657;1606197716657;1606197716657;1606197716657;1606197716660;1606197716660;1606197716660;1606197716660;1606197716660;1606197716660;1606197716660;1606197716660;1606197716660;1606197716660;1606197716660;1606197716661;1606197716661;1606197716661;1606197716661;1606197716661;1606197716661;1606197716661;1606197716661;1606197716661;1606197716663;1606197716663;1606197716663;1606197716663;1606197716663;1606197716663;1606197716663;1606197716665;1606197716665;1606197716665;1606197716665;1606197716665;1606197716665;1606197716665;1606197716665;1606197716665;1606197716666;1606197716666;1606197716666;1606197716666;1606197716666;1606197716666;1606197716666;1606197716666;1606197716666;1606197716666;1606197716666;1606197716668;1606197716668;1606197716668;1606197716668;1606197716668;1606197716668;1606197716668;1606197716668;1606197716668;1606197716668;1606197716669;1606197716669;1606197716669;1606197716669;1606197716669;1606197716670;1606197716670;1606197716670;1606197716672;1606197716672;1606197716672;1606197716672;1606197716672;1606197716672;1606197716672;1606197716672;1606197716672;1606197716674;1606197716675;1606197716677;1606197716677;1606197716677;1606197716677;1606197716677;1606197716677;1606197716677;1606197716679;1606197716679;1606197716679;1606197716679;1606197716679;1606197716679;1606197716679;1606197716679;1606197716679;1606197716679;1606197716679;1606197716679;1606197716680;1606197716680;1606197716680;1606197716680;1606197716680;1606197716681;1606197716681;1606197716681;1606197716681;1606197716681;1606197716681;1606197716683;1606197716683;1606197716683;1606197716683;1606197716683;1606197716683;1606197716684;1606197716684;1606197716684;1606197716684;1606197716684;1606197716684;1606197716685;1606197716685;1606197716685;1606197716686;1606197716686;1606197716686;1606197716687;1606197716687;1606197716687;1606197716687;1606197716687;1606197716687;1606197716688;1606197716688;1606197716688;1606197716689;1606197716689;1606197716689;1606197716689;1606197716690;1606197716690;1606197716690;1606197716690;1606197716690;1606197716691;1606197716691;1606197716691;1606197716692;1606197716692;1606197716692;1606197716692;1606197716692;1606197716692;1606197716694;1606197716694;1606197716694;1606197716695;1606197716695;1606197716695;1606197716695;1606197716695;1606197716695;1606197716696;1606197716696;1606197716696;1606197716696;1606197716697;1606197716697;1606197716697;1606197716697;1606197716697;1606197716697;1606197716700;1606197716700;1606197716742;1606197716742;1606197716877;1606197716949;,126;338;334;137;141;126;174;270;216;149;126;126;1366;1366;126;1366;1366;106;126;1366;1366;1366;1366;126;126;1366;1366;1366;1366;126;126;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;1366;126;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;126;126;126;126;1366;1366;1366;1366;1366;126;126;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;732;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;1366;1366;1366;1366;1366;126;126;126;1366;1366;1366;1366;1366;126;126;1366;1366;1366;1366;126;126;1366;1366;1366;1366;126;126;1366;1366;1366;1366;1366;1366;126;126;126;1366;1366;126;1366;1366;1366;126;126;1366;1366;1366;1366;1366;1366;1366;126;126;126;1366;1366;1366;126;126;1366;1366;1366;126;1366;126;1366;1366;1366;1366;1366;126;126;1366;1366;126;1366;1366;1366;1366;1366;126;126;126;1366;1366;1366;1366;1366;126;126;1366;1366;1366;1366;126;126;1366;1366;1366;1366;1366;126;126;126;1366;1366;1366;1366;1366;126;126;1366;1366;1366;1366;1366;1366;126;126;126;1366;1366;1366;1366;1366;1366;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;1366;1366;126;1366;1366;1366;1366;1366;1366;1366;126;126;126;127;1366;1366;1366;126;126;1366;1366;1366;1366;1366;1366;126;126;126;1366;1366;126;1366;1366;1366;1366;1366;126;126;1366;1366;1366;1366;126;126;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;1366;1366;1366;1366;1366;1366;126;126;126;1366;1366;1366;1366;1366;126;126;1366;1366;1366;1366;1366;1366;126;126;126;1366;1366;1366;1366;1366;1366;276;126;126;126;126;1366;308;1366;1366;1366;1366;1366;126;126;126;1366;1366;1366;1366;1366;126;126;126;1366;1366;1366;1366;1366;1366;126;126;126;1309;303;1366;1366;1366;1366;1366;126;126;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;1366;1366;1366;126;126;1366;1366;1366;1366;126;126;1366;1366;1366;1366;1366;1366;126;126;126;1366;1366;126;1366;1366;1366;126;1366;126;1366;1366;1366;1366;126;126;1366;1366;1366;126;1366;1366;126;1366;1366;1366;126;126;1366;1366;126;1366;1366;126;1366;1366;126;1366;1366;126;1366;1366;1366;1366;126;126;1366;1366;1366;126;1366;1103;1366;308;126;126;126;161;126;126;126;127;,1;1;1;2;1;2;2;2;2;2;1;1;2;2;1;2;2;2;1;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;1;1;1;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2;1;1;2;2;2;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;1;2;1;2;2;2;2;2;1;1;2;2;1;2;2;2;2;2;1;1;1;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;1;2;2;2;2;2;2;2;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;1;1;1;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;1;1;2;2;2;2;1;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2;1;2;1;2;2;2;2;1;1;2;2;2;1;2;2;1;2;2;2;1;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;2;2;1;1;2;1;
1606197717,192.168.1.192,59477,137.110.0.70,443,17,126,816,1,3,1606197717037;1606197717037;1606197717038;1606197717172;,518;172;126;126;,2;2;1;2;
1606197718,192.168.1.192,59477,137.110.0.70,443,17,14621,242352,108,190,1606197718257;1606197718258;1606197718258;1606197718281;1606197718283;1606197718283;1606197718283;1606197718283;1606197718284;1606197718285;1606197718285;1606197718298;1606197718298;1606197718298;1606197718298;1606197718298;1606197718298;1606197718298;1606197718298;1606197718298;1606197718298;1606197718298;1606197718298;1606197718298;1606197718299;1606197718299;1606197718299;1606197718299;1606197718299;1606197718299;1606197718299;1606197718299;1606197718299;1606197718299;1606197718299;1606197718302;1606197718302;1606197718302;1606197718302;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718316;1606197718317;1606197718317;1606197718317;1606197718317;1606197718317;1606197718317;1606197718317;1606197718317;1606197718317;1606197718317;1606197718317;1606197718317;1606197718318;1606197718318;1606197718318;1606197718318;1606197718318;1606197718318;1606197718318;1606197718318;1606197718318;1606197718318;1606197718319;1606197718319;1606197718319;1606197718319;1606197718319;1606197718319;1606197718319;1606197718319;1606197718319;1606197718319;1606197718319;1606197718319;1606197718319;1606197718319;1606197718319;1606197718319;1606197718319;1606197718320;1606197718320;1606197718320;1606197718320;1606197718320;1606197718320;1606197718321;1606197718321;1606197718321;1606197718321;1606197718321;1606197718321;1606197718321;1606197718321;1606197718321;1606197718321;1606197718321;1606197718321;1606197718324;1606197718324;1606197718324;1606197718324;1606197718324;1606197718324;1606197718324;1606197718324;1606197718324;1606197718325;1606197718326;1606197718326;1606197718328;1606197718328;1606197718328;1606197718328;1606197718328;1606197718328;1606197718328;1606197718328;1606197718328;1606197718328;1606197718328;1606197718328;1606197718328;1606197718328;1606197718328;1606197718328;1606197718329;1606197718329;1606197718329;1606197718329;1606197718329;1606197718329;1606197718329;1606197718329;1606197718330;1606197718330;1606197718330;1606197718330;1606197718330;1606197718330;1606197718331;1606197718331;1606197718331;1606197718331;1606197718331;1606197718331;1606197718331;1606197718331;1606197718331;1606197718331;1606197718332;1606197718332;1606197718333;1606197718333;1606197718333;1606197718333;1606197718333;1606197718333;1606197718334;1606197718334;1606197718334;1606197718334;1606197718334;1606197718337;1606197718337;1606197718337;1606197718337;1606197718337;1606197718337;1606197718338;1606197718338;1606197718338;1606197718339;1606197718339;1606197718339;1606197718339;1606197718339;1606197718339;1606197718339;1606197718339;1606197718339;1606197718340;1606197718345;1606197718345;1606197718345;1606197718345;1606197718345;1606197718345;1606197718345;1606197718345;1606197718345;1606197718345;1606197718345;1606197718345;1606197718345;1606197718345;1606197718345;1606197718345;1606197718345;1606197718345;1606197718346;1606197718346;1606197718346;1606197718346;1606197718346;1606197718346;1606197718347;1606197718347;1606197718347;1606197718347;1606197718347;1606197718347;1606197718347;1606197718347;1606197718347;1606197718347;1606197718347;1606197718347;1606197718349;1606197718349;1606197718349;1606197718349;1606197718349;1606197718349;1606197718349;1606197718349;1606197718349;1606197718349;1606197718349;1606197718349;1606197718351;1606197718351;1606197718351;1606197718351;1606197718351;1606197718351;1606197718351;1606197718351;1606197718351;1606197718351;1606197718351;1606197718351;1606197718352;1606197718352;1606197718352;1606197718356;1606197718356;1606197718406;1606197718406;1606197718407;1606197718407;1606197718425;1606197718513;1606197718737;1606197718737;1606197718738;,339;165;334;161;255;126;149;1366;126;1366;126;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;126;126;126;126;126;1366;126;1366;126;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;173;126;126;126;126;1366;308;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;277;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;126;126;1366;1366;1366;1366;1366;1366;126;126;126;1366;1366;1366;1366;1366;1366;126;126;126;1366;345;303;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;126;1366;1366;1366;1366;1366;1366;126;126;126;1366;1366;1366;1366;1366;1366;126;126;126;1366;1366;1366;1366;1366;1366;126;126;1366;126;126;1366;1366;1366;1366;1366;1366;126;126;126;1366;1366;1366;1366;1366;1366;1366;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;1366;126;1366;1366;1366;1366;1366;1366;323;1366;308;126;126;126;126;126;161;137;141;126;126;106;268;520;172;126;,1;1;1;2;2;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;1;1;2;1;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;1;1;1;2;1;2;2;1;
1606197719,192.168.1.192,59477,137.110.0.70,443,17,970,443,6,2,1606197719515;1606197719571;1606197719618;1606197719668;1606197719713;1606197719713;1606197719779;1606197719823;,268;178;162;162;106;150;281;106;,1;1;1;2;1;1;2;1;
1606197719,192.168.1.192,54139,137.110.0.70,443,6,117,117,2,2,1606197719792;1606197719822;1606197719830;1606197719885;,77;40;77;40;,1;2;2;1;
1606197720,192.168.1.192,59477,137.110.0.70,443,17,866,432,5,2,1606197720363;1606197720433;1606197720489;1606197720516;1606197720615;1606197720668;1606197720725;,208;278;106;268;158;154;126;,1;2;1;1;1;2;1;
1606197721,192.168.1.192,59477,137.110.0.70,443,17,8549,2790,15,13,1606197721171;1606197721171;1606197721171;1606197721171;1606197721171;1606197721171;1606197721184;1606197721184;1606197721187;1606197721195;1606197721204;1606197721204;1606197721204;1606197721219;1606197721219;1606197721219;1606197721220;1606197721263;1606197721286;1606197721286;1606197721286;1606197721290;1606197721298;1606197721299;1606197721314;1606197721314;1606197721314;1606197721516;,572;1366;1366;529;1366;1343;386;297;426;126;126;161;126;126;161;126;161;126;523;314;126;196;217;126;232;321;126;268;,1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;2;1;2;2;1;2;2;1;2;2;1;1;
1606197722,192.168.1.192,59477,137.110.0.70,443,17,263,245,2,2,1606197722623;1606197722652;1606197722723;1606197722781;,157;106;139;106;,1;2;2;1;
