Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1606197472,192.168.1.192,59477,137.110.0.70,443,17,141,0,1,0,1606197472935;,141;,1;
1606197473,192.168.1.192,59477,137.110.0.70,443,17,36189,386549,258,325,1606197473026;1606197473043;1606197473074;1606197473097;1606197473097;1606197473097;1606197473097;1606197473097;1606197473097;1606197473097;1606197473097;1606197473097;1606197473097;1606197473097;1606197473097;1606197473097;1606197473097;1606197473098;1606197473098;1606197473098;1606197473098;1606197473098;1606197473099;1606197473099;1606197473100;1606197473100;1606197473100;1606197473100;1606197473100;1606197473100;1606197473100;1606197473100;1606197473100;1606197473100;1606197473100;1606197473100;1606197473100;1606197473100;1606197473100;1606197473101;1606197473101;1606197473101;1606197473102;1606197473102;1606197473102;1606197473103;1606197473103;1606197473103;1606197473105;1606197473105;1606197473105;1606197473105;1606197473105;1606197473105;1606197473105;1606197473105;1606197473105;1606197473105;1606197473105;1606197473105;1606197473105;1606197473106;1606197473106;1606197473107;1606197473107;1606197473108;1606197473108;1606197473109;1606197473109;1606197473178;1606197473190;1606197473210;1606197473210;1606197473211;1606197473211;1606197473211;1606197473211;1606197473211;1606197473211;1606197473211;1606197473211;1606197473211;1606197473216;1606197473216;1606197473216;1606197473216;1606197473216;1606197473222;1606197473222;1606197473222;1606197473222;1606197473222;1606197473222;1606197473222;1606197473222;1606197473222;1606197473222;1606197473222;1606197473222;1606197473222;1606197473223;1606197473223;1606197473223;1606197473223;1606197473223;1606197473223;1606197473223;1606197473223;1606197473223;1606197473223;1606197473223;1606197473223;1606197473223;1606197473223;1606197473223;1606197473223;1606197473223;1606197473224;1606197473232;1606197473233;1606197473233;1606197473233;1606197473235;1606197473242;1606197473242;1606197473242;1606197473242;1606197473242;1606197473242;1606197473242;1606197473243;1606197473243;1606197473243;1606197473243;1606197473243;1606197473243;1606197473243;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473246;1606197473247;1606197473247;1606197473247;1606197473247;1606197473247;1606197473247;1606197473247;1606197473247;1606197473248;1606197473248;1606197473248;1606197473248;1606197473248;1606197473248;1606197473248;1606197473248;1606197473248;1606197473248;1606197473248;1606197473248;1606197473249;1606197473249;1606197473249;1606197473249;1606197473249;1606197473249;1606197473249;1606197473249;1606197473249;1606197473249;1606197473249;1606197473249;1606197473249;1606197473249;1606197473249;1606197473249;1606197473249;1606197473249;1606197473249;1606197473250;1606197473250;1606197473250;1606197473250;1606197473250;1606197473250;1606197473250;1606197473251;1606197473251;1606197473251;1606197473251;1606197473252;1606197473252;1606197473252;1606197473252;1606197473252;1606197473252;1606197473252;1606197473252;1606197473252;1606197473252;1606197473252;1606197473252;1606197473252;1606197473253;1606197473253;1606197473253;1606197473253;1606197473253;1606197473253;1606197473253;1606197473254;1606197473254;1606197473254;1606197473254;1606197473254;1606197473254;1606197473254;1606197473254;1606197473254;1606197473255;1606197473255;1606197473255;1606197473255;1606197473255;1606197473255;1606197473255;1606197473256;1606197473256;1606197473256;1606197473256;1606197473256;1606197473256;1606197473256;1606197473256;1606197473256;1606197473256;1606197473256;1606197473256;1606197473256;1606197473256;1606197473256;1606197473257;1606197473258;1606197473258;1606197473258;1606197473258;1606197473258;1606197473258;1606197473258;1606197473258;1606197473258;1606197473258;1606197473258;1606197473258;1606197473258;1606197473258;1606197473258;1606197473258;1606197473259;1606197473259;1606197473259;1606197473259;1606197473259;1606197473259;1606197473259;1606197473259;1606197473259;1606197473259;1606197473259;1606197473259;1606197473259;1606197473260;1606197473260;1606197473260;1606197473260;1606197473260;1606197473260;1606197473260;1606197473261;1606197473261;1606197473261;1606197473261;1606197473261;1606197473261;1606197473261;1606197473261;1606197473261;1606197473261;1606197473261;1606197473261;1606197473262;1606197473262;1606197473262;1606197473262;1606197473262;1606197473265;1606197473265;1606197473265;1606197473265;1606197473265;1606197473265;1606197473265;1606197473265;1606197473265;1606197473265;1606197473265;1606197473266;1606197473266;1606197473266;1606197473266;1606197473266;1606197473266;1606197473267;1606197473267;1606197473267;1606197473267;1606197473268;1606197473268;1606197473268;1606197473268;1606197473270;1606197473270;1606197473270;1606197473270;1606197473270;1606197473270;1606197473270;1606197473270;1606197473270;1606197473270;1606197473270;1606197473271;1606197473271;1606197473271;1606197473271;1606197473271;1606197473271;1606197473271;1606197473272;1606197473272;1606197473272;1606197473272;1606197473272;1606197473272;1606197473272;1606197473272;1606197473272;1606197473273;1606197473273;1606197473273;1606197473273;1606197473273;1606197473274;1606197473274;1606197473274;1606197473274;1606197473274;1606197473274;1606197473274;1606197473274;1606197473274;1606197473274;1606197473274;1606197473275;1606197473275;1606197473275;1606197473275;1606197473275;1606197473275;1606197473275;1606197473276;1606197473276;1606197473276;1606197473276;1606197473276;1606197473276;1606197473276;1606197473276;1606197473276;1606197473276;1606197473276;1606197473276;1606197473277;1606197473278;1606197473278;1606197473278;1606197473278;1606197473278;1606197473278;1606197473278;1606197473278;1606197473278;1606197473278;1606197473278;1606197473278;1606197473278;1606197473278;1606197473278;1606197473278;1606197473278;1606197473279;1606197473279;1606197473280;1606197473280;1606197473280;1606197473280;1606197473280;1606197473280;1606197473280;1606197473280;1606197473280;1606197473280;1606197473280;1606197473280;1606197473280;1606197473280;1606197473280;1606197473280;1606197473284;1606197473284;1606197473284;1606197473284;1606197473284;1606197473284;1606197473284;1606197473284;1606197473284;1606197473284;1606197473285;1606197473285;1606197473285;1606197473285;1606197473285;1606197473286;1606197473286;1606197473286;1606197473286;1606197473286;1606197473286;1606197473286;1606197473286;1606197473286;1606197473286;1606197473286;1606197473286;1606197473286;1606197473286;1606197473287;1606197473287;1606197473287;1606197473287;1606197473288;1606197473288;1606197473288;1606197473288;1606197473288;1606197473288;1606197473288;1606197473288;1606197473289;1606197473289;1606197473289;1606197473289;1606197473289;1606197473289;1606197473289;1606197473289;1606197473290;1606197473290;1606197473290;1606197473290;1606197473290;1606197473290;1606197473290;1606197473290;1606197473290;1606197473290;1606197473290;1606197473290;1606197473290;1606197473291;1606197473291;1606197473291;1606197473291;1606197473291;1606197473291;1606197473291;1606197473291;1606197473291;1606197473292;1606197473292;1606197473292;1606197473292;1606197473292;1606197473292;1606197473292;1606197473293;1606197473293;1606197473293;1606197473293;1606197473293;1606197473293;1606197473293;1606197473293;1606197473293;1606197473294;1606197473294;1606197473294;1606197473294;1606197473294;1606197473295;1606197473295;1606197473295;1606197473295;1606197473295;1606197473295;1606197473295;1606197473295;1606197473295;1606197473295;1606197473338;1606197473944;1606197473945;1606197473945;1606197473988;1606197473988;1606197473988;1606197473988;1606197473988;1606197473989;1606197473994;1606197473994;1606197473994;1606197473994;1606197473994;1606197473994;1606197473994;1606197473994;1606197473994;1606197473994;1606197473994;1606197473994;1606197473995;1606197473995;1606197473995;1606197473995;1606197473995;1606197473995;1606197473995;1606197473996;1606197473996;1606197473996;1606197473996;1606197473996;,137;136;106;533;983;1366;1366;1366;1138;1366;1366;1366;1366;1366;1366;1366;1366;1366;1255;1366;126;126;126;126;126;126;1366;1366;1366;1366;1366;911;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;677;126;106;370;369;369;369;370;369;370;370;370;370;369;372;161;270;1366;126;126;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;1366;1366;1366;1366;1366;146;1366;308;126;126;126;126;126;126;126;126;161;126;187;174;126;446;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;627;1366;308;149;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;167;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;1366;308;149;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;1366;1366;1366;1366;403;1366;308;333;1366;1366;1366;126;126;126;126;126;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;126;1366;1366;1366;1366;1136;161;1366;308;149;1366;1366;126;126;126;126;126;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;126;1366;1366;1366;1366;174;272;1366;1366;1366;1366;126;126;126;126;126;126;126;1366;1366;1366;1366;126;1366;681;1366;308;416;1366;126;126;126;126;126;126;1366;1366;1366;1366;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;1366;1366;1366;1366;1366;1366;951;1366;308;248;126;126;126;126;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;376;126;126;126;126;1366;308;149;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;126;1366;710;1366;308;249;1366;1366;1366;1366;1366;126;126;126;126;126;1366;1366;1366;179;1366;308;249;1366;1366;1366;1366;126;126;126;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;258;126;126;126;126;126;126;126;1366;308;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;1366;1366;1366;1314;1366;308;126;126;126;126;126;369;369;371;126;126;161;174;271;126;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;271;1366;1366;1366;1366;126;126;126;1366;1366;1366;126;,2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;1;1;1;2;2;2;1;
1606197473,FE80::10AB:814:CAD1:152F,5353,FF02::FB,5353,17,123,0,1,0,1606197473469;,123;,1;
1606197473,192.168.1.201,5353,224.0.0.251,5353,17,103,0,1,0,1606197473469;,103;,1;
1606197473,FE80::14C3:1D88:1F63:D8C,5353,FF02::FB,5353,17,115,0,1,0,1606197473470;,115;,1;
1606197474,192.168.1.192,59477,137.110.0.70,443,17,2930,48922,23,42,1606197474001;1606197474001;1606197474001;1606197474001;1606197474001;1606197474001;1606197474001;1606197474001;1606197474002;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474004;1606197474005;1606197474005;1606197474005;1606197474005;1606197474006;1606197474006;1606197474006;1606197474006;1606197474006;1606197474006;1606197474006;1606197474006;1606197474006;1606197474007;1606197474007;1606197474007;1606197474007;1606197474007;1606197474007;1606197474008;1606197474008;1606197474065;1606197474173;1606197474198;1606197474237;1606197474286;,1366;1366;1366;1366;1366;1366;126;126;126;1366;1366;1366;1366;1190;1366;308;1366;1366;1366;1366;1366;1366;1366;458;1366;308;248;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;1366;744;1366;308;126;126;126;158;126;154;126;,2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;2;2;1;
1606197475,192.168.1.192,59477,137.110.0.70,443,17,2957,1351,10,10,1606197475073;1606197475094;1606197475144;1606197475144;1606197475165;1606197475614;1606197475629;1606197475640;1606197475658;1606197475705;1606197475752;1606197475934;1606197475935;1606197475935;1606197475935;1606197475957;1606197475957;1606197475957;1606197475957;1606197475957;,393;161;126;127;138;157;127;106;138;139;106;245;165;1366;145;126;126;126;126;165;,1;2;1;1;2;1;1;2;2;2;1;1;1;1;1;2;2;2;2;2;
1606197476,192.168.1.192,59477,137.110.0.70,443,17,2422,4061,12,17,1606197476003;1606197476021;1606197476023;1606197476023;1606197476023;1606197476023;1606197476024;1606197476024;1606197476026;1606197476057;1606197476255;1606197476255;1606197476255;1606197476281;1606197476281;1606197476281;1606197476281;1606197476335;1606197476384;1606197476384;1606197476384;1606197476384;1606197476385;1606197476385;1606197476386;1606197476418;1606197476544;1606197476544;1606197476563;,126;207;689;232;231;165;126;126;165;126;186;165;844;126;126;126;165;126;200;809;325;165;126;126;165;126;137;141;106;,1;2;2;2;2;2;1;1;1;2;1;1;1;2;2;2;2;1;2;2;2;2;1;1;1;2;2;1;2;
1606197477,192.168.1.192,59477,137.110.0.70,443,17,8781,135318,64,117,1606197477416;1606197477419;1606197477420;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477427;1606197477428;1606197477428;1606197477428;1606197477428;1606197477428;1606197477428;1606197477429;1606197477429;1606197477429;1606197477429;1606197477429;1606197477430;1606197477430;1606197477430;1606197477430;1606197477430;1606197477430;1606197477430;1606197477430;1606197477431;1606197477431;1606197477431;1606197477431;1606197477432;1606197477432;1606197477433;1606197477433;1606197477433;1606197477433;1606197477433;1606197477498;1606197477498;1606197477499;1606197477522;1606197477522;1606197477522;1606197477522;1606197477522;1606197477523;1606197477530;1606197477530;1606197477530;1606197477530;1606197477531;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477535;1606197477536;1606197477536;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477537;1606197477538;1606197477538;1606197477538;1606197477538;1606197477538;1606197477538;1606197477540;1606197477540;1606197477540;1606197477540;1606197477540;1606197477540;1606197477540;1606197477540;1606197477540;1606197477540;1606197477540;1606197477540;1606197477540;1606197477540;1606197477540;1606197477540;1606197477540;1606197477540;1606197477540;1606197477541;1606197477541;1606197477541;1606197477541;1606197477541;1606197477594;1606197477627;1606197477628;1606197477672;1606197477672;1606197477683;1606197477684;1606197477684;1606197477694;1606197477694;1606197477694;1606197477705;1606197477705;,533;983;126;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;126;1366;1366;126;126;126;126;126;126;126;126;126;126;126;126;126;1366;1366;1366;126;126;126;126;126;126;1332;1366;308;126;126;370;370;369;126;126;161;161;161;126;260;1366;1366;126;126;1366;1366;1366;1366;1366;271;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;126;126;1366;449;1366;308;1366;1366;1366;1366;1366;1366;1366;1366;216;1366;308;232;1366;1366;1366;1366;1366;1366;126;126;126;126;126;126;126;126;126;126;126;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;909;1366;308;126;126;126;126;126;126;126;126;126;125;125;125;125;184;121;121;184;184;184;196;196;,2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;2;2;2;1;1;1;1;1;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;
1606197477,FE80::10AB:814:CAD1:152F,5353,FF02::FB,5353,17,465,0,2,0,1606197477463;1606197477878;,353;112;,1;1;
